benchmark	pregrouper	model	expected_segments	segment_rows	missing_segment_rows	extra_segment_rows	original_prompt_coverage	ablated_segment_coverage	paired_attribution_coverage	label_cell_coverage	original_content_filter_count	ablated_content_filter_count	original_terminal_failure_count	ablated_terminal_failure_count
anli_r1	sentence	gpt-4-1	8181	8181	0	0	0.999	0.9837428187263171	0.9837428187263171	0.7030461460262135	1.0	8.0	0.0	0.0
anli_r1	sentence	gemini-2-5-flash-lite-vertex	8181	8181	0	0	1.0	0.9610072118322943	0.9610072118322943	0.6969465926006608	0.0	0.0	0.0	0.0
anli_r2	sentence	qwen2.5-0.5b-instruct	8163	8163	0	0	1.0	1.0	1.0	1.0				
anli_r2	sentence	qwen2.5-3b-instruct	8163	8163	0	0	1.0	1.0	1.0	1.0				
anli_r2	sentence	llama-3.1-8b-instruct	8163	8163	0	0	1.0	1.0	1.0	1.0				
anli_r2	sentence	qwen2.5-7b-instruct	8163	8163	0	0	1.0	1.0	1.0	1.0				
anli_r2	sentence	qwen2.5-14b-instruct	8163	8163	0	0	1.0	1.0	1.0	1.0				
anli_r2	sentence	llama3.1-8b-instruct	8163	8163	0	0	0.998	0.8770060026950875	0.8754134509371555	0.8292771654116192	0.0	0.0	0.0	0.0
anli_r2	sentence	llama3.1-70b-instruct	8163	8163	0	0	1.0	0.8774960186206052	0.8774960186206052	0.8607442977190877	0.0	0.0	0.0	0.0
anli_r2	sentence	llama3.3-70b-instruct	8163	8163	0	0	1.0	0.8774960186206052	0.8774960186206052	0.7950452908436102	0.0	0.0	0.0	0.0
anli_r2	sentence	llama4-maverick-17b-128e-instruct	8163	8163	0	0	1.0	0.782187921107436	0.782187921107436	0.5235912546836916	0.0	0.0	0.0	0.0
anli_r2	sentence	gpt-4o	8163	8163	0	0	0.997	0.8980766874923435	0.8973416636040671	0.7341845829240787	3.0	21.0	0.0	0.0
anli_r2	sentence	gpt-4-1	8163	8163	0	0	0.997	0.9812568908489526	0.9806443709420556	0.7265087853323148	3.0	22.0	0.0	0.0
anli_r2	sentence	gemini-2-5-flash-lite-vertex	8163	8163	0	0	1.0	0.9636163175303197	0.9636163175303197	0.7041361999345193	0.0	0.0	0.0	0.0
anli_r3	sentence	qwen2.5-0.5b-instruct	10028	10028	0	0	1.0	1.0	1.0	1.0				
anli_r3	sentence	qwen2.5-3b-instruct	10028	10028	0	0	1.0	1.0	1.0	1.0				
anli_r3	sentence	llama-3.1-8b-instruct	10028	10028	0	0	1.0	1.0	1.0	1.0				
anli_r3	sentence	qwen2.5-7b-instruct	10028	10028	0	0	1.0	1.0	1.0	1.0				
anli_r3	sentence	qwen2.5-14b-instruct	10028	10028	0	0	1.0	1.0	1.0	1.0				
anli_r3	sentence	llama3.1-8b-instruct	10028	10028	0	0	0.9991666666666666	0.879936178699641	0.8789389708815317	0.8294145588409928	0.0	0.0	0.0	0.0
anli_r3	sentence	llama3.1-70b-instruct	10028	10028	0	0	1.0	0.8804347826086957	0.8804347826086957	0.8653366583541147	0.0	0.0	0.0	0.0
anli_r3	sentence	llama3.3-70b-instruct	10028	10028	0	0	1.0	0.8806342241723175	0.8806342241723175	0.7763032893955587	0.0	0.0	0.0	0.0
anli_r3	sentence	llama4-maverick-17b-128e-instruct	10028	10028	0	0	1.0	0.8131232548863183	0.8131232548863183	0.5638582116138225	0.0	0.0	0.0	0.0
anli_r3	sentence	gpt-4o	10028	10028	0	0	0.985	0.8967889908256881	0.894196250498604	0.7472093575584847	18.0	146.0	0.0	0.0
anli_r3	sentence	gpt-4-1	10028	10028	0	0	0.985	0.970283207020343	0.9676904666932589	0.737204607528797	18.0	148.0	0.0	0.0
anli_r3	sentence	gemini-2-5-flash-lite-vertex	10028	10028	0	0	1.0	0.9783605903470283	0.9783605903470283	0.7309998812492579	0.0	0.0	0.0	0.0
winogrande	sentence	qwen2.5-0.5b-instruct	9135	9135	0	0	1.0	1.0	1.0	1.0				
winogrande	sentence	qwen2.5-3b-instruct	9135	9135	0	0	1.0	1.0	1.0	1.0				
winogrande	sentence	llama-3.1-8b-instruct	9135	9135	0	0	1.0	1.0	1.0	1.0				
winogrande	sentence	qwen2.5-7b-instruct	9135	9135	0	0	1.0	1.0	1.0	1.0				
winogrande	sentence	qwen2.5-14b-instruct	9135	9135	0	0	1.0	1.0	1.0	1.0				
winogrande	sentence	llama3.1-8b-instruct	9135	9135	0	0	1.0	0.8613026819923372	0.8613026819923372	0.8781965006729475	0.0	0.0	0.0	0.0
winogrande	sentence	llama3.1-70b-instruct	9135	9135	0	0	1.0	0.8455391351943076	0.8455391351943076	0.8562295712363007	0.0	0.0	0.0	0.0
winogrande	sentence	llama3.3-70b-instruct	9135	9135	0	0	1.0	0.8613026819923372	0.8613026819923372	0.8781965006729475	0.0	0.0	0.0	0.0
winogrande	sentence	llama4-maverick-17b-128e-instruct	9135	9135	0	0	1.0	0.7524904214559387	0.7524904214559387	0.7597096712170737	0.0	0.0	0.0	0.0
winogrande	sentence	gpt-4o	9135	9135	0	0	1.0	0.8611932129173508	0.8611932129173508	0.8278696404537589	0.0	1.0	0.0	0.0
winogrande	sentence	gpt-4-1	9135	9135	0	0	1.0	0.8605363984674329	0.8605363984674329	0.8706018073447414	0.0	1.0	0.0	0.0
winogrande	sentence	gemini-2-5-flash-lite-vertex	9135	9135	0	0	1.0	0.963656267104543	0.963656267104543	0.9094885598923284	0.0	0.0	0.0	0.0
boolq	word	qwen2.5-0.5b-instruct	10000	10000	0	0	1.0	1.0	1.0	1.0				
boolq	word	qwen2.5-3b-instruct	10000	10000	0	0	1.0	1.0	1.0	1.0				
boolq	word	llama-3.1-8b-instruct	10000	10000	0	0	1.0	1.0	1.0	1.0				
boolq	word	qwen2.5-7b-instruct	10000	10000	0	0	1.0	1.0	1.0	1.0				
boolq	word	qwen2.5-14b-instruct	10000	10000	0	0	1.0	1.0	1.0	1.0				
boolq	word	llama3.1-8b-instruct	10000	10000	0	0	0.999669749009247	0.9991	0.999	0.9992324224746699	0.0	0.0	0.0	0.0
boolq	word	llama3.1-70b-instruct	10000	10000	0	0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
boolq	word	llama3.3-70b-instruct	10000	10000	0	0	1.0	1.0	1.0	0.999846484494934	0.0	0.0	0.0	0.0
boolq	word	llama4-maverick-17b-128e-instruct	10000	10000	0	0	1.0	1.0	1.0	0.9988870125882714	0.0	0.0	0.0	0.0
boolq	word	gpt-4o	10000	10000	0	0	0.9960369881109643	0.9946	0.9935	0.9753607614369051	12.0	54.0	0.0	0.0
boolq	word	gpt-4-1	10000	10000	0	0	0.9960369881109643	0.9944	0.9935	0.9227049431992631	12.0	56.0	0.0	0.0
boolq	word	gemini-2-5-flash-lite-vertex	10000	10000	0	0	1.0	1.0	1.0	0.999002149217071	0.0	0.0	0.0	0.0
lambada	word	qwen2.5-0.5b-instruct	10000	10000	0	0	1.0	1.0	1.0					
lambada	word	qwen2.5-3b-instruct	10000	10000	0	0	1.0	1.0	1.0					
lambada	word	llama-3.1-8b-instruct	10000	10000	0	0	1.0	1.0	1.0					
lambada	word	qwen2.5-7b-instruct	10000	10000	0	0	1.0	1.0	1.0					
lambada	word	qwen2.5-14b-instruct	10000	10000	0	0	1.0	1.0	1.0					
lambada	word	llama3.1-8b-instruct	10000	10000	0	0	0.999316161385913	0.9994	0.9987					
lambada	word	llama3.1-70b-instruct	10000	10000	0	0	0.9997720537953043	1.0	0.9999					
lambada	word	llama3.3-70b-instruct	10000	10000	0	0	1.0	1.0	1.0					
lambada	word	llama4-maverick-17b-128e-instruct	10000	10000	0	0	1.0	1.0	1.0					
lambada	word	gpt-4o	10000	10000	0	0	0.0	0.0	0.0					
lambada	word	gpt-4-1	10000	10000	0	0	0.0	0.0	0.0					
lambada	word	gemini-2-5-flash-lite-vertex	10000	10000	0	0	0.0	0.0	0.0					
race	sentence	qwen2.5-0.5b-instruct	145544	145544	0	0	1.0	1.0	1.0	1.0				
race	sentence	qwen2.5-3b-instruct	145544	145544	0	0	1.0	1.0	1.0	1.0				
race	sentence	llama-3.1-8b-instruct	145544	145544	0	0	1.0	1.0	1.0	1.0				
race	sentence	qwen2.5-7b-instruct	145544	145544	0	0	1.0	1.0	1.0	1.0				
race	sentence	qwen2.5-14b-instruct	145544	145544	0	0	1.0	1.0	1.0	1.0				
race	sentence	llama3.1-8b-instruct	145544	145544	0	0	0.9989866234292664	0.998722035947892	0.9977738690705217	0.9987057908797299	0.0	0.0	0.0	0.0
race	sentence	llama3.1-70b-instruct	145544	145544	0	0	1.0	1.0	1.0	0.9970876141362857	0.0	0.0	0.0	0.0
race	sentence	llama3.3-70b-instruct	145544	145544	0	0	1.0	0.9974784257681526	0.9974784257681526	0.9750412020361781	0.0	0.0	0.0	0.0
race	sentence	llama4-maverick-17b-128e-instruct	145544	145544	0	0	0.9995946493717065	0.9995121750123674	0.9989693838289452	0.9514729727933652	0.0	0.0	0.0	0.0
race	sentence	gpt-4o	145544	145544	0	0	0.9963518443453587	0.9955683504644643	0.9931704501731435	0.8871330028309786	18.0	514.0	0.0	110.0
race	sentence	gpt-4-1	145544	145544	0	0	0.9904742602351033	0.9846232067278624	0.9822665310833837	0.6710399526841133	47.0	1303.0	0.0	890.0
race	sentence	gemini-2-5-flash-lite-vertex	145544	145544	0	0	1.0	1.0	1.0	0.9948514068501708	0.0	0.0	0.0	0.0
