benchmark	pregrouper	scope	representation	aggregation	model_s	model_t	metric	statistic	missingness_policy	expected_observations	n_observations	n_prompts	observation_coverage	f_point	f_lo	f_hi
race	sentence	all	all_pairs	row_pooled	llama-3.1-8b-instruct	llama3.3-70b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4917	4917	0.9965545196595055	0.7154657028129964	0.7047302743735567	0.7261895607704275
race	sentence	all	all_pairs	row_pooled	llama-3.1-8b-instruct	llama4-maverick-17b-128e-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4321	4321	0.8757600324280502	0.6441750770148532	0.6325261026953686	0.6570813731391948
race	sentence	all	all_pairs	row_pooled	llama-3.1-8b-instruct	gpt-4o	F_pred_rv	rv	pair_specific_complete_case	4934	3191	3191	0.6467369274422375	0.6561695965637775	0.6419588589690268	0.6711350673708683
race	sentence	all	all_pairs	row_pooled	llama-3.1-8b-instruct	gpt-4-1	F_pred_rv	rv	pair_specific_complete_case	4934	1021	1021	0.20693149574381842	0.4210015254943736	0.392418173156781	0.45389227800073756
race	sentence	all	all_pairs	row_pooled	llama-3.1-8b-instruct	gemini-2-5-flash-lite-vertex	F_pred_rv	rv	pair_specific_complete_case	4934	4897	4897	0.9925010133765707	0.6868299796613864	0.6756146612421595	0.6974921780934735
race	sentence	all	all_pairs	row_pooled	qwen2.5-7b-instruct	qwen2.5-14b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.8583954471793169	0.8513931179048981	0.865541441644388
race	sentence	all	all_pairs	row_pooled	qwen2.5-7b-instruct	llama3.1-70b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4926	4926	0.9983785974868261	0.8110953852823028	0.8037487864348072	0.8184307615491955
race	sentence	all	all_pairs	row_pooled	qwen2.5-7b-instruct	llama3.3-70b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4917	4917	0.9965545196595055	0.8339702088399715	0.8249997184246947	0.8430980373123935
race	sentence	all	all_pairs	row_pooled	qwen2.5-7b-instruct	llama4-maverick-17b-128e-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4321	4321	0.8757600324280502	0.8077657881633216	0.796899752153949	0.8187481590837149
race	sentence	all	all_pairs	row_pooled	qwen2.5-7b-instruct	gpt-4o	F_pred_rv	rv	pair_specific_complete_case	4934	3191	3191	0.6467369274422375	0.7836008695374795	0.771340883429389	0.7960060841903078
race	sentence	all	all_pairs	row_pooled	qwen2.5-7b-instruct	gpt-4-1	F_pred_rv	rv	pair_specific_complete_case	4934	1021	1021	0.20693149574381842	0.6137577593531274	0.5854715218190021	0.6414156076332961
race	sentence	all	all_pairs	row_pooled	qwen2.5-7b-instruct	gemini-2-5-flash-lite-vertex	F_pred_rv	rv	pair_specific_complete_case	4934	4897	4897	0.9925010133765707	0.8119980064919959	0.8039982433661957	0.8207384510829692
race	sentence	all	all_pairs	row_pooled	qwen2.5-14b-instruct	llama3.1-70b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4926	4926	0.9983785974868261	0.8698060874884628	0.8648066659429003	0.874906928642344
race	sentence	all	all_pairs	row_pooled	qwen2.5-14b-instruct	llama3.3-70b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4917	4917	0.9965545196595055	0.8870170438683658	0.8809813342526114	0.8928864266995076
race	sentence	all	all_pairs	row_pooled	qwen2.5-14b-instruct	llama4-maverick-17b-128e-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4321	4321	0.8757600324280502	0.8541412316331368	0.8458545707331863	0.8619679399637545
race	sentence	all	all_pairs	row_pooled	qwen2.5-14b-instruct	gpt-4o	F_pred_rv	rv	pair_specific_complete_case	4934	3191	3191	0.6467369274422375	0.8652929427048464	0.8576883665128684	0.873909381685867
race	sentence	all	all_pairs	row_pooled	qwen2.5-14b-instruct	gpt-4-1	F_pred_rv	rv	pair_specific_complete_case	4934	1021	1021	0.20693149574381842	0.7224815192091348	0.6987990950160478	0.7459119017916943
race	sentence	all	all_pairs	row_pooled	qwen2.5-14b-instruct	gemini-2-5-flash-lite-vertex	F_pred_rv	rv	pair_specific_complete_case	4934	4897	4897	0.9925010133765707	0.8530096350004536	0.8460167923052968	0.8599674365957628
race	sentence	all	all_pairs	row_pooled	llama3.1-70b-instruct	llama3.3-70b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4911	4911	0.9953384677746251	0.9409093012734143	0.9387623737393457	0.9430720992867606
race	sentence	all	all_pairs	row_pooled	llama3.1-70b-instruct	llama4-maverick-17b-128e-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4316	4316	0.8747466558573166	0.8266858420994793	0.8199890254106734	0.8332265255796274
race	sentence	all	all_pairs	row_pooled	llama3.1-70b-instruct	gpt-4o	F_pred_rv	rv	pair_specific_complete_case	4934	3185	3185	0.6455208755573572	0.835538971638896	0.8284391637446425	0.8436025413943319
race	sentence	all	all_pairs	row_pooled	llama3.1-70b-instruct	gpt-4-1	F_pred_rv	rv	pair_specific_complete_case	4934	1020	1020	0.20672882042967167	0.6720352321326887	0.6488318485785853	0.6929627963314414
race	sentence	all	all_pairs	row_pooled	llama3.1-70b-instruct	gemini-2-5-flash-lite-vertex	F_pred_rv	rv	pair_specific_complete_case	4934	4889	4889	0.9908796108633968	0.8584521060828325	0.852122401180391	0.8648148591537056
race	sentence	all	all_pairs	row_pooled	llama3.3-70b-instruct	llama4-maverick-17b-128e-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4309	4309	0.8733279286582895	0.8644202324434411	0.8557209315594684	0.8724795440745999
race	sentence	all	all_pairs	row_pooled	llama3.3-70b-instruct	gpt-4o	F_pred_rv	rv	pair_specific_complete_case	4934	3183	3183	0.6451155249290637	0.8653426686028672	0.8561498878672406	0.8742412941418024
race	sentence	all	all_pairs	row_pooled	llama3.3-70b-instruct	gpt-4-1	F_pred_rv	rv	pair_specific_complete_case	4934	1021	1021	0.20693149574381842	0.6599019682566095	0.6335975276640305	0.6883543381549131
race	sentence	all	all_pairs	row_pooled	llama3.3-70b-instruct	gemini-2-5-flash-lite-vertex	F_pred_rv	rv	pair_specific_complete_case	4934	4880	4880	0.9890555330360762	0.8507896947965536	0.8434317195334577	0.85780994562055
race	sentence	all	all_pairs	row_pooled	llama4-maverick-17b-128e-instruct	gpt-4o	F_pred_rv	rv	pair_specific_complete_case	4934	2822	2822	0.5719497365220916	0.835642423252925	0.8247827206503741	0.8469819906422497
race	sentence	all	all_pairs	row_pooled	llama4-maverick-17b-128e-instruct	gpt-4-1	F_pred_rv	rv	pair_specific_complete_case	4934	973	973	0.19720308066477504	0.6523758949426075	0.6261282442218988	0.6785007233880875
race	sentence	all	all_pairs	row_pooled	llama4-maverick-17b-128e-instruct	gemini-2-5-flash-lite-vertex	F_pred_rv	rv	pair_specific_complete_case	4934	4288	4288	0.8690717470612079	0.8058655388343544	0.7961260373779361	0.8154404081210079
race	sentence	all	all_pairs	row_pooled	gpt-4o	gpt-4-1	F_pred_rv	rv	pair_specific_complete_case	4934	871	871	0.17653019862180785	0.8200666870428401	0.8048662285968261	0.8361662323682675
race	sentence	all	all_pairs	row_pooled	gpt-4o	gemini-2-5-flash-lite-vertex	F_pred_rv	rv	pair_specific_complete_case	4934	3161	3161	0.6406566680178354	0.808950684865938	0.7985131920394556	0.8201516009635639
race	sentence	all	all_pairs	row_pooled	gpt-4-1	gemini-2-5-flash-lite-vertex	F_pred_rv	rv	pair_specific_complete_case	4934	1005	1005	0.20368869071747062	0.6023241013431342	0.5741641435327163	0.6333439236436074
race	sentence	all	all_pairs	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	145544	4934	1.0	0.07186011337396059	0.06703759714341127	0.07707154101128436
race	sentence	all	all_pairs	row_pooled	qwen2.5-0.5b-instruct	llama-3.1-8b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	145544	4934	1.0	0.1646253236680755	0.15606351072181057	0.1736857210603189
race	sentence	all	all_pairs	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-7b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	145544	4934	1.0	0.10172897511770668	0.09565479764149916	0.10874710292060369
race	sentence	all	all_pairs	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-14b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	145544	4934	1.0	0.06204133477733863	0.05718620648175096	0.06703673627897323
race	sentence	all	all_pairs	row_pooled	qwen2.5-0.5b-instruct	llama3.1-70b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	143781	4926	0.9878868246028693	0.10570190755471467	0.09777506486739503	0.11429093446468565
race	sentence	all	all_pairs	row_pooled	qwen2.5-0.5b-instruct	llama3.3-70b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	139637	4917	0.9594143351838619	0.1125489406217789	0.10571838735130358	0.12005471790526144
race	sentence	all	all_pairs	row_pooled	qwen2.5-0.5b-instruct	llama4-maverick-17b-128e-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	117489	4321	0.8072404221403837	0.05893046143642897	0.05381506672195466	0.06439651698054424
race	sentence	all	all_pairs	row_pooled	qwen2.5-0.5b-instruct	gpt-4o	F_attr_rv	rv	pair_specific_complete_case	145544	76758	3191	0.527386907052163	0.07533654528546331	0.06818856155683824	0.08267548728551553
race	sentence	all	all_pairs	row_pooled	qwen2.5-0.5b-instruct	gpt-4-1	F_attr_rv	rv	pair_specific_complete_case	145544	24690	1021	0.1696394217556203	0.04081508322750281	0.03284482572648646	0.049914397387216626
race	sentence	all	all_pairs	row_pooled	qwen2.5-0.5b-instruct	gemini-2-5-flash-lite-vertex	F_attr_rv	rv	pair_specific_complete_case	145544	141666	4897	0.9733551365909965	0.05953112372420347	0.05476879319971604	0.06431812448801352
race	sentence	all	all_pairs	row_pooled	qwen2.5-3b-instruct	llama-3.1-8b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	145544	4934	1.0	0.3267729517013571	0.31835762060942513	0.3355324238961758
race	sentence	all	all_pairs	row_pooled	qwen2.5-3b-instruct	qwen2.5-7b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	145544	4934	1.0	0.39423695892702154	0.3855695538902711	0.40339117129675395
race	sentence	all	all_pairs	row_pooled	qwen2.5-3b-instruct	qwen2.5-14b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	145544	4934	1.0	0.38715755790308176	0.37785056029322917	0.39722917074319347
race	sentence	all	all_pairs	row_pooled	qwen2.5-3b-instruct	llama3.1-70b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	143781	4926	0.9878868246028693	0.3546754019752182	0.34573125770255014	0.3627643651519695
race	sentence	all	all_pairs	row_pooled	qwen2.5-3b-instruct	llama3.3-70b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	139637	4917	0.9594143351838619	0.3736819543185314	0.36356213762894646	0.38316729567961644
race	sentence	all	all_pairs	row_pooled	qwen2.5-3b-instruct	llama4-maverick-17b-128e-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	117489	4321	0.8072404221403837	0.2944980684054226	0.2835740165382526	0.3049710691948571
race	sentence	all	all_pairs	row_pooled	qwen2.5-3b-instruct	gpt-4o	F_attr_rv	rv	pair_specific_complete_case	145544	76758	3191	0.527386907052163	0.2819067220546928	0.27158956125388817	0.2930966632838864
race	sentence	all	all_pairs	row_pooled	qwen2.5-3b-instruct	gpt-4-1	F_attr_rv	rv	pair_specific_complete_case	145544	24690	1021	0.1696394217556203	0.16594268662119574	0.1511260116420509	0.18235918097896267
race	sentence	all	all_pairs	row_pooled	qwen2.5-3b-instruct	gemini-2-5-flash-lite-vertex	F_attr_rv	rv	pair_specific_complete_case	145544	141666	4897	0.9733551365909965	0.26116415788288533	0.25052522821305484	0.27206019408866694
race	sentence	all	all_pairs	row_pooled	llama-3.1-8b-instruct	qwen2.5-7b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	145544	4934	1.0	0.43340234265418576	0.42407628545593423	0.44298977632574366
race	sentence	all	all_pairs	row_pooled	llama-3.1-8b-instruct	qwen2.5-14b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	145544	4934	1.0	0.38099296646458874	0.37245644089282215	0.38934362139397805
race	sentence	all	all_pairs	row_pooled	llama-3.1-8b-instruct	llama3.1-70b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	143781	4926	0.9878868246028693	0.524018103760559	0.5139649939827522	0.5330634821171474
race	sentence	all	all_pairs	row_pooled	llama-3.1-8b-instruct	llama3.3-70b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	139637	4917	0.9594143351838619	0.48256442725231846	0.4738231319773664	0.4923288499076693
race	sentence	all	all_pairs	row_pooled	llama-3.1-8b-instruct	llama4-maverick-17b-128e-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	117489	4321	0.8072404221403837	0.3139373351699953	0.30534810446397936	0.3230814525475769
race	sentence	all	all_pairs	row_pooled	llama-3.1-8b-instruct	gpt-4o	F_attr_rv	rv	pair_specific_complete_case	145544	76758	3191	0.527386907052163	0.35508510684565014	0.343177988603763	0.36615026836292514
race	sentence	all	all_pairs	row_pooled	llama-3.1-8b-instruct	gpt-4-1	F_attr_rv	rv	pair_specific_complete_case	145544	24690	1021	0.1696394217556203	0.2025858525590253	0.18707841432311936	0.21957218317808733
race	sentence	all	all_pairs	row_pooled	llama-3.1-8b-instruct	gemini-2-5-flash-lite-vertex	F_attr_rv	rv	pair_specific_complete_case	145544	141666	4897	0.9733551365909965	0.3107984686276207	0.29883509926234975	0.3220878868203512
race	sentence	all	all_pairs	row_pooled	qwen2.5-7b-instruct	qwen2.5-14b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	145544	4934	1.0	0.5884583882825581	0.5799847288717378	0.5963526177684786
race	sentence	all	all_pairs	row_pooled	qwen2.5-7b-instruct	llama3.1-70b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	143781	4926	0.9878868246028693	0.5778310104624204	0.5687067891747816	0.5861501349841481
race	sentence	all	all_pairs	row_pooled	qwen2.5-7b-instruct	llama3.3-70b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	139637	4917	0.9594143351838619	0.5945836546804819	0.5846711639920275	0.605424468399154
race	sentence	all	all_pairs	row_pooled	qwen2.5-7b-instruct	llama4-maverick-17b-128e-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	117489	4321	0.8072404221403837	0.4762362664412105	0.4648598754865899	0.4868063661491716
race	sentence	all	all_pairs	row_pooled	qwen2.5-7b-instruct	gpt-4o	F_attr_rv	rv	pair_specific_complete_case	145544	76758	3191	0.527386907052163	0.44572121171296053	0.43371137174165814	0.4580687170807959
race	sentence	all	all_pairs	row_pooled	qwen2.5-7b-instruct	gpt-4-1	F_attr_rv	rv	pair_specific_complete_case	145544	24690	1021	0.1696394217556203	0.31449138485942824	0.29488239719080434	0.3346831315140936
race	sentence	all	all_pairs	row_pooled	qwen2.5-7b-instruct	gemini-2-5-flash-lite-vertex	F_attr_rv	rv	pair_specific_complete_case	145544	141666	4897	0.9733551365909965	0.39038654160922387	0.3765324722592891	0.404579090064965
race	sentence	all	all_pairs	row_pooled	qwen2.5-14b-instruct	llama3.1-70b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	143781	4926	0.9878868246028693	0.592453081629917	0.5864933208360575	0.5986936000413753
race	sentence	all	all_pairs	row_pooled	qwen2.5-14b-instruct	llama3.3-70b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	139637	4917	0.9594143351838619	0.6015383035164255	0.5936206936292959	0.6090872114243032
race	sentence	all	all_pairs	row_pooled	qwen2.5-14b-instruct	llama4-maverick-17b-128e-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	117489	4321	0.8072404221403837	0.51345660528588	0.5046385456676108	0.5231902188239597
race	sentence	all	all_pairs	row_pooled	qwen2.5-14b-instruct	gpt-4o	F_attr_rv	rv	pair_specific_complete_case	145544	76758	3191	0.527386907052163	0.46544768993637553	0.4562738394595387	0.4746270394415584
race	sentence	all	all_pairs	row_pooled	qwen2.5-14b-instruct	gpt-4-1	F_attr_rv	rv	pair_specific_complete_case	145544	24690	1021	0.1696394217556203	0.3634347416976471	0.3447821943022327	0.38310737159256186
race	sentence	all	all_pairs	row_pooled	qwen2.5-14b-instruct	gemini-2-5-flash-lite-vertex	F_attr_rv	rv	pair_specific_complete_case	145544	141666	4897	0.9733551365909965	0.4077431117930378	0.3938017207896638	0.4212554179703925
race	sentence	all	all_pairs	row_pooled	llama3.1-70b-instruct	llama3.3-70b-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	139337	4911	0.9573531028417523	0.8439005079595264	0.8407601076370196	0.8469080661806966
race	sentence	all	all_pairs	row_pooled	llama3.1-70b-instruct	llama4-maverick-17b-128e-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	117172	4316	0.8050623866322212	0.5402848831987485	0.5315914051448455	0.5482927940593891
race	sentence	all	all_pairs	row_pooled	llama3.1-70b-instruct	gpt-4o	F_attr_rv	rv	pair_specific_complete_case	145544	76440	3185	0.5252020007695267	0.5374518106787449	0.5281635012044938	0.5471393379662105
race	sentence	all	all_pairs	row_pooled	llama3.1-70b-instruct	gpt-4-1	F_attr_rv	rv	pair_specific_complete_case	145544	24657	1020	0.16941268619798824	0.37267422702354047	0.35451898372165974	0.3909421590817369
race	sentence	all	all_pairs	row_pooled	llama3.1-70b-instruct	gemini-2-5-flash-lite-vertex	F_attr_rv	rv	pair_specific_complete_case	145544	140423	4889	0.9648147639201891	0.4572391470056266	0.4426000049933574	0.4724975478844383
race	sentence	all	all_pairs	row_pooled	llama3.3-70b-instruct	llama4-maverick-17b-128e-instruct	F_attr_rv	rv	pair_specific_complete_case	145544	116493	4309	0.8003971307645797	0.5741359117788825	0.5641013038626129	0.5839415544434621
race	sentence	all	all_pairs	row_pooled	llama3.3-70b-instruct	gpt-4o	F_attr_rv	rv	pair_specific_complete_case	145544	75930	3183	0.5216979057879404	0.5444160024252958	0.5334716264482877	0.5558465007462937
race	sentence	all	all_pairs	row_pooled	llama3.3-70b-instruct	gpt-4-1	F_attr_rv	rv	pair_specific_complete_case	145544	24621	1021	0.1691653383169351	0.36257122292743393	0.3426010594022325	0.3856530407204304
race	sentence	all	all_pairs	row_pooled	llama3.3-70b-instruct	gemini-2-5-flash-lite-vertex	F_attr_rv	rv	pair_specific_complete_case	145544	137153	4880	0.9423473313911944	0.4413640345284443	0.4261492224678503	0.4568930113049671
race	sentence	all	all_pairs	row_pooled	llama4-maverick-17b-128e-instruct	gpt-4o	F_attr_rv	rv	pair_specific_complete_case	145544	65559	2822	0.45044110372121143	0.41739840034547776	0.40516985701500124	0.43064225458820615
race	sentence	all	all_pairs	row_pooled	llama4-maverick-17b-128e-instruct	gpt-4-1	F_attr_rv	rv	pair_specific_complete_case	145544	23076	973	0.15854999175507062	0.2925547086767268	0.2749545021342371	0.3124748640397178
race	sentence	all	all_pairs	row_pooled	llama4-maverick-17b-128e-instruct	gemini-2-5-flash-lite-vertex	F_attr_rv	rv	pair_specific_complete_case	145544	115274	4288	0.7920216566811411	0.34888883933905623	0.33518430455233417	0.3633805683151981
race	sentence	all	all_pairs	row_pooled	gpt-4o	gpt-4-1	F_attr_rv	rv	pair_specific_complete_case	145544	20544	871	0.14115319078766558	0.42167345682586427	0.4013065008138214	0.44209598651113285
race	sentence	all	all_pairs	row_pooled	gpt-4o	gemini-2-5-flash-lite-vertex	F_attr_rv	rv	pair_specific_complete_case	145544	74965	3161	0.5150676084208212	0.3497534494902689	0.3316141769337866	0.3692765041256107
race	sentence	all	all_pairs	row_pooled	gpt-4-1	gemini-2-5-flash-lite-vertex	F_attr_rv	rv	pair_specific_complete_case	145544	23812	1005	0.16360688176771285	0.15593015114436531	0.1349792919667625	0.17875866821459582
race	sentence	system	all_pairs	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.284409958278765	0.2701732280925928	0.2998368302238012
race	sentence	system	all_pairs	row_pooled	qwen2.5-0.5b-instruct	llama-3.1-8b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.33089343654762915	0.3154687521948679	0.34718186203915996
race	sentence	system	all_pairs	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-7b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.286774128367148	0.27134897052359147	0.30046187260006985
race	sentence	system	all_pairs	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-14b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.2747630118816233	0.26262006778538793	0.2890056400975616
race	sentence	system	all_pairs	row_pooled	qwen2.5-0.5b-instruct	llama3.1-70b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4926	4926	0.9983785974868261	0.30266880963816417	0.2870660960685978	0.31760736801279527
race	sentence	system	all_pairs	row_pooled	qwen2.5-0.5b-instruct	llama3.3-70b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4917	4917	0.9965545196595055	0.27601352763278375	0.2619930625712522	0.28994664238197443
race	sentence	system	all_pairs	row_pooled	qwen2.5-0.5b-instruct	llama4-maverick-17b-128e-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4321	4321	0.8757600324280502	0.24460920848427609	0.22863649771511418	0.26054159680703365
race	sentence	system	all_pairs	row_pooled	qwen2.5-0.5b-instruct	gpt-4o	F_pred_rv	rv	pair_specific_complete_case	4934	3191	3191	0.6467369274422375	0.23548103803372553	0.21817444796781166	0.2537848325533666
race	sentence	system	all_pairs	row_pooled	qwen2.5-0.5b-instruct	gpt-4-1	F_pred_rv	rv	pair_specific_complete_case	4934	1021	1021	0.20693149574381842	0.1355559478139997	0.10883121689344914	0.16752182904654334
race	sentence	system	all_pairs	row_pooled	qwen2.5-0.5b-instruct	gemini-2-5-flash-lite-vertex	F_pred_rv	rv	pair_specific_complete_case	4934	4897	4897	0.9925010133765707	0.28269722797344216	0.26804687423121276	0.29829583399133064
race	sentence	system	all_pairs	row_pooled	qwen2.5-3b-instruct	llama-3.1-8b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.67799621754745	0.666746784041804	0.6880252090817066
race	sentence	system	all_pairs	row_pooled	qwen2.5-3b-instruct	qwen2.5-7b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.773243663575184	0.7625417140562089	0.7832832874248052
